image_id,is_back_color_black,is_back_pattern_solid,is_belly_color_white,is_belly_pattern_solid,is_bill_color_black,is_bill_length_shorter_than_head,is_bill_shape_all-purpose,is_breast_color_white,is_breast_pattern_solid,is_crown_color_black,is_eye_color_black,is_forehead_color_black,is_head_pattern_plain,is_leg_color_grey,is_nape_color_black,is_primary_color_black,is_shape_perching-like,is_size_small_(5_-_9_in),is_tail_pattern_solid,is_tail_shape_notched_tail,is_throat_color_white,is_under_tail_color_black,is_underparts_color_white,is_upper_tail_color_black,is_upperparts_color_black,is_wing_color_black,is_wing_pattern_multi-colored,is_wing_shape_rounded-wings,is_back_color_black_certainty,is_back_pattern_solid_certainty,is_belly_color_white_certainty,is_belly_pattern_solid_certainty,is_bill_color_black_certainty,is_bill_length_shorter_than_head_certainty,is_bill_shape_all-purpose_certainty,is_breast_color_white_certainty,is_breast_pattern_solid_certainty,is_crown_color_black_certainty,is_eye_color_black_certainty,is_forehead_color_black_certainty,is_head_pattern_plain_certainty,is_leg_color_grey_certainty,is_nape_color_black_certainty,is_primary_color_black_certainty,is_shape_perching-like_certainty,is_size_small_(5_-_9_in)_certainty,is_tail_pattern_solid_certainty,is_tail_shape_notched_tail_certainty,is_throat_color_white_certainty,is_under_tail_color_black_certainty,is_underparts_color_white_certainty,is_upper_tail_color_black_certainty,is_upperparts_color_black_certainty,is_wing_color_black_certainty,is_wing_pattern_multi-colored_certainty,is_wing_shape_rounded-wings_certainty,is_bill_shape_all-purpose_soft,is_wing_color_black_soft,is_upperparts_color_black_soft,is_underparts_color_white_soft,is_breast_pattern_solid_soft,is_back_color_black_soft,is_tail_shape_notched_tail_soft,is_upper_tail_color_black_soft,is_head_pattern_plain_soft,is_breast_color_white_soft,is_throat_color_white_soft,is_eye_color_black_soft,is_bill_length_shorter_than_head_soft,is_forehead_color_black_soft,is_under_tail_color_black_soft,is_nape_color_black_soft,is_belly_color_white_soft,is_wing_shape_rounded-wings_soft,is_size_small_(5_-_9_in)_soft,is_shape_perching-like_soft,is_back_pattern_solid_soft,is_tail_pattern_solid_soft,is_belly_pattern_solid_soft,is_primary_color_black_soft,is_leg_color_grey_soft,is_bill_color_black_soft,is_crown_color_black_soft,is_wing_pattern_multi-colored_soft,is_Warbler,image_file,train_val_test,is_Warbler_score
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,3,1,1,4,4,4,3,1,4,3,2,2,1,1,4,1,1,1,1,1,1,1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.1,0.5,0.0,0.0,0.5,0,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,test,0.0029551294
2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,4,1,4,1,4,4,1,4,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,1,4,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,train,0.00066354556
3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,2,1,3,4,3,3,4,3,3,3,3,1,4,4,4,3,1,1,3,1,1,1,3,3,3,4,0.1,0.9,0.9,0.5,1.0,0.0,0.5,0.5,0.1,0.1,0.1,0.9,0.0,0.1,0.5,0.0,0.25,0.0,0.1,0.0,0.1,0.5,0.5,0.0,0.5,0.1,0.1,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,test,0.0006659279
4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,4,1,1,3,4,4,1,1,3,4,3,4,1,1,4,3,3,3,4,3,1,1,3,4,4,4,4,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.1,0.0,0.5,0.1,1.0,0.0,0.1,0.5,0.5,0.5,0.0,0.1,0.1,1.0,0.9,0.5,0.0,0.5,0.9,0.1,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,train,0.0019549115
5,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,4,4,3,3,4,3,4,4,3,3,4,1,3,4,4,4,3,3,3,4,4,1,1,3,1,4,0.0,0.9,0.5,0.0,1.0,0.5,0.1,0.5,1.0,0.1,0.1,0.1,0.1,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.5,0.9,1.0,1.0,0.5,0.1,1.0,0.5,0,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,train,0.002244087
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,3,1,1,3,4,2,1,1,3,3,3,4,1,3,3,2,3,3,4,3,1,1,3,3,3,4,3,0.25,0.1,0.9,0.5,0.5,0.1,0.0,0.1,0.0,0.5,0.9,0.9,0.0,0.1,0.5,0.1,0.5,0.9,0.1,0.25,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,test,0.00033740778
7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,4,2,1,3,4,3,3,1,4,3,4,3,1,1,3,1,1,1,1,1,1,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.25,0.1,1.0,0.1,0.1,0.5,0.0,0.5,0.5,0.1,0.0,0.5,0.5,0.5,0.1,0.5,0.0,0.1,0.5,0,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,train,0.011470889
8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0.25,0.75,0.75,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.25,1.0,0.25,0.25,0.75,1.0,0.25,0.75,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.75,0,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,val,0.00034993235
9,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,4,4,4,3,1,4,4,3,3,4,3,4,1,4,3,4,4,4,4,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9,0.1,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,train,0.014400192
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,test,9.715468e-05
